"Ebene";"OE";"Art";"FB";"Menge";"Verfügbar";"Menge Ist";"Ausstattung | Hersteller | Typ";"Sachnummer";"Inventar Nr";"Gerätenr.";"Status"
4;"";"Gwm";"";"0 ";"0";"1";"      Nocken-Heizdüse, für Schneideinsatz, 3 - 100 mm";"3433T22206";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Heizdüse für Schneideinsatz, 100 - 200 mm";"3433T22214";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneiddüse, 3 - 10 mm";"3433T22218";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneiddüse, 10 - 30 mm";"3433T22219";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneiddüse, 25 - 40 mm";"3433T22220";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneiddüse, 30 - 60 mm";"3433T22221";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneiddüse, 60 - 100 mm";"3433T22222";"---------------";"--------------------";"F"
3;"";"Satz";"";"1";"0";"";"    Schweißdüsen, Satz (SE)";"3433T22400";"";"";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schweißeinsatz, Größe 2; 1 - 2 mm";"3433T22224";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schweißeinsatz, Größe 3; 2 - 4 mm";"3433T22225";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schweißeinsatz, Größe 4; 4 - 6 mm";"3433T22226";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schweißeinsatz, Größe 5; 6 - 9 mm";"3433T22227";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schweißeinsatz, Größe 6; 9 - 14 mm";"3433T22228";"---------------";"--------------------";"F"
3;"";"Teil";"";"1";"0";"";"    Zwillingsschlauch";"4720T22515";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckminderer Acetylen";"4820T22517";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckminderer Sauerstoff";"4820T22518";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Flammensperre (Acetylen)";"4820T22522";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Flammensperre (Sauerstoff)";"4820T22523";"";"";"F"
3;"";"Satz";"";"1";"0";"";"    Zubehör für Schweiß- und Brennausstattung (SE)";"5180T22200";"";"";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Feuerstein, 3 x 20 mm";"3439T22234";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"6";"      Mundstückreiniger für Schweißeinsätze";"3439T22240";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"6";"      Reinigungsnadel für Schneiddüse";"3439T22241";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Brennerschlüssel (Kombischlüssel)";"5120T22666";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Einmaulschlüssel, SW 32 mm";"5120T22697";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Pistolen-Gasanzünder";"5120T22767";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Werkzeugkasten für Brennersatz";"5180T22841";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"10";"      Dichtungen für Regulierventil";"5330T22224";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"20";"      Dichtungen für Schweiß- und Schneideinsätze";"5330T22225";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Messing-Reinigungsbürste, ca. 280 mm lang";"7920T22670";"---------------";"--------------------";"F"
3;"";"Teil";"";"1";"0";"";"    Leichtstahl-Acetylenflasche, 20 l Rauminhalt";"8120T22721";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Leichtstahl-Sauerstoffflasche, 20 l Rauminhalt";"8120T22722";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Leichtstahl-Sauerstoffflasche, 20 l Rauminhalt";"8120T22722";"";"";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Führungswagen für Schneideinsätze";"3433T22212";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Schweißeinsatz, biegsam, 2 - 4 mm";"3433T22230";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"10";"    Schweißdraht, 3 mm, 500 mm lang";"3439T22246";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Schutzbrille, gewerblich";"4240T22467";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"4";"    Sichtscheibe für Schutzbrille";"4240T22478";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Schutztülle für Druckminderer";"9320T22810";"---------------";"--------------------";"F"
1;"";"Pos";"";"1";"1";"";"Kettenmotorsäge, 3,5 kW (SE)";"3695T22004";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Kettenmotorsäge, 3,5 kW (SE)";"3695T22004";"0758-S000014";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Kettenmotorsäge (380-430 mm Schnittlänge) | SACHS-DOLMAR | 6400";"3695T22269";"0052-005323";" ";"V"
3;"";"Satz";"";"1";"1";"";"    Zubehör Kettenmotorsäge (SE)";"3695T22279";"0758-S000156";" ";"V"
4;"";"Satz";"";"1";"0";"";"      Reparaturset Kettenmotorsäge (SE)";"3695T22264";"";"";"F"
5;"";"Gwm";"";"0 ";"0";"1";"        Feilenhalter mit Feile u. Ersatzfeile";"5110T22564";"---------------";"--------------------";"F"
5;"";"Gwm";"";"0 ";"0";"1";"        Werkzeugsatz Kettenmotorsäge";"5180T22105";"---------------";"--------------------";"F"
5;"";"Gwm";"";"0 ";"0";"1";"        Sägeketten-Messlehre";"6675T22533";"---------------";"--------------------";"F"
4;"";"Gwm";"";"2 ";"2";"2";"      Fällkeil aus Kunststoff 180 mm lg";"5120T22708";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Schnelleinfüllsystem Kraftstoff";"7240T00002";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Schnelleinfüllsystem Kettenhaftöl";"7240T00003";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Kanister; Kombi- aus Kunststoff";"7240T22554";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Bedienungsanleitung Kettenmotorsäge";"7610T22632";"---------------";"--------------------";"V"
3;"";"Gwm";"";"3 ";"3";"3";"    Hochleistungshobelzahnkette  380 - 430 mm Schnittlänge";"3695T22266";"---------------";"--------------------";"V"
3;"";"Gwm";"";"1 ";"1";"1";"    Spezial-Sägekette 380 - 430 mm Schnittlänge";"3695T22273";"---------------";"--------------------";"V"
1;"";"Pos";"";"1";"1";"";"Seile, Ketten, Anschlagmittel I (SE)";"4020T22006";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Seile, Ketten, Anschlagmittel I (SE)";"4020T22006";"0758-S000012";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Anschlagkette  5,0 t, 3,0 m lg, 1-Strang | NN | NN (s. Beschreibung)";"4010T22328";"0510-001928";" ";"V"
3;"";"Teil";"";"1";"0";"";"    Anschlagkette 10,0 t, 4,0 m lg, 1-Strang";"4010T24332";"";"";"F"
3;"";"Satz";"";"1";"1";"";"    Seile, Ketten, Anschlagmittel (SE)";"4020T22005";"0758-S000017";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001877";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001876";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001875";" ";"V"
